id,chat_history,sys_response,situation,emotion,question or not,behavior
11064,"[""Have to go to the doctor tomorrow to see if I have strep throat. I hate when they have to swab the back of your mouth to make sure that it's strep so they can treat you. Really hoping to avoid that this time around."", ""Sorry to hear that, the trouble of going to the doctor just to confirm its strep throat is the worst. It's like I know I have it, just help me!"", ""Haha, that's exactly how I feel. And then when they have to swab the back of your throat, I always gag and they keep having to do it over and over. It's traumatic almost, and I'm already sick to boot!""]","Hopefully you can avoid that, the swab to the back of your throat is a gross feeling!",Have to go to the doctor tomorrow to see if I have strep throat. I hate when they have to swab the back of your mouth to make sure that it's strep so they can treat you. Really hoping to avoid that this time around.,hopeful,[None],[None]
11106,"[""My two dogs got into a fight with each other, and now they're avoiding one another. They even drew blood on each other during the fight. They're usually good buddies, so it kind of bothers me that they did that"", 'That is too bad. Are they getting along now.', ""Not quite. They're not aggressive with one another, but they still haven't completely gotten back to the point where they're acting normal. I guess it's just a matter of time. They've been together four years, and that was the worst fight yet.""]",Are they okay now?,"My two dogs got into a fight with each other, and now they're avoiding one another. They even drew blood on each other during the fight. They're usually good buddies, so it kind of bothers me that they did that.",sad,ask me for further details,[None]
11153,"[""Man, don't you hate when you have a test coming up and you procrastinate studying?""]",Yes.. I have a test coming up and I should be studying right now!  LOL,"One time I had a test to take. I studied and studied and got myself ready for it. When it came time to take it, it felt extremely easy.",prepared,[None],[None]
11256,"['I was thinking about my pets and a few loose cats I know of a lot the past few days and how I will always be dedicated to helping animals.', 'Awww.. I love cats.. Sorry.. I was yelling at my boyfriend..', ""LOL! Well that is a funny thing. Yelling at him? What happened! Yes, I will always help them. I am very worried about a little grey and white one especially...He used to beg at my neighbors door..and my neighbor is now gone and I haven't seen him."", 'Awww.. I hope you find him.. he is playing video games and being super lazy', ""Oh girl...Don't you hate that? I cannot stand a lazy dude..Unless they are working 15 hour days..and even then..I work too- Everyone needs to help. Oi...When did men ever turn into boys as they get older? And not in the cute happy way! lol"", ""He sucks he doesn't work or do chores at home.. PS4 24/7"", 'Kick him out honey..You are not his mother. Partners should never have to be the parent to a grown adult. You are worth more then that and you are here working. Frankly he either needs to be taking care of the house and doing a good job OR WORKING..His job should be looking for work all day then. Oi...I am angry for you!!']",He thinks I am his mother I think he wants to be mothered,I was thinking about my pets a lot the past few days and how I will always be dedicated to helping animals.,sentimental,[None],[None]
11305,"['My dog pooped on the carpet yesterday.', 'Is the dog potty trained?', 'Nope. I am far too lazy to do that. In response, I beat her with a pool noodle. Think that got the message across.']",That pool noodle must be terrifying for her.,My dog pooped on the carpet. Never been so mad in my life.,furious,[None],[None]
11472,['Yesterday was a great lazy day.  I did nothing but sit outside in the sun and read a book.  It was completely happy'],That sounds like a wonderful time. I wish I had the time for that!,Yesterday I did nothing but sit outside and read a book.  I was completely relaxed all day,content,[None],"I'm in a positive mood, please congratulate me and praise me."
11564,"[""Learned earlier today that I had been drinking all day out of a cup that had been used earlier by someone who has bronchitis. I'm hoping it's not too contagious... Why can't people properly clean and put things away so I don't confuse dirty dishes with clean dishes!"", ""People can be inconsiderate sometimes. I hope you don't get sick!"", ""Well, we'll see. I'm generally pretty healthy and haven't been to the doctor in like over 6 years for anything other than the flu. So, hopefully my immune system will keep it at bay. But it was just it's something so simple and avoidable, and they didn't do it. I guess I should feel more empathy for them though, since they're sick.""]",That's true. It's nice of you to put yourself in their shoes.,Learned earlier today that I had been drinking all day out of a cup that had been used earlier by someone who has bronchitis. I'm hoping it's not too contagious... Why can't people properly clean and put things away so I don't confuse dirty dishes with clean dishes!,disgusted,[None],"I'm in a positive mood, please congratulate me and praise me."
11748,"['I am ashamed of myself for being lazy and not going to the gym, I am not sure why I struggle with it']","Same.. for me its because i work so much, and being a parent is so draining for me... i bought a new machine tho im going to start working out on friday. Try to find out whats causing it for you, and take 1 step to fix it you got this!","I am ashamed of myself for being lazy and not going to the gym, I am not sure why I struggle with it",ashamed,[None],[None]
11767,"[""I love who I am now.  But I'm livid at my older self, that guy was a deadbeat and I'd probably beat the crap out of him haha""]","Im glad you made changes for the positive in your life.  You cant go back into the past, but you can keep moving forward","Looking back at my old self I'm actually livid at how stupid and lazy I was.  I'd probably beat the crap out of that guy, he was such a deadbeat",furious,[None],"I'm in a positive mood, please congratulate me and praise me."
12061,"['i was studing for a test yesterday and really trying to concentrate', 'How did that go? Studying is very important in order to do good.', 'yea , but my girlfriend was beside be and she was flicking her fingers and nails up and down over and over against the wooden table we were at.  can you imagine this when I need perfect silence for studying', 'How annoying that could be. She could have alittle more respect for you.', 'Exactly but i acrd the test ant way . but i can still hear those finger nails click, click, click , click']",How frustrating! I hope you were able to study just a little though.,i was beside my girlfriend at the dinner table studing for test. She started taking her fingers and clicking her fingers against it repeatedly it it kept me distracted from my goal which was studying,annoyed,[None],[None]
12168,"['Ugh, it is so frustrating when you pay extra for express delivery and the shipping company messed up!', ""Oh yea, I've had it happen a few times. It's even worse when they lose the package for a while"", ""Yes! That's why I have to stay on top of the package tracking because you never know when something could go wrong.""]",I don't blame you. I try to keep tabs on them because I don't trust they will be delivered in time. I also set up a camera to catch deliveries that don't deliver :},"I ordered a product with express delivery, and it was delayed for a week!",angry,[None],"I'm in a negative mood, please comfort me."
12641,"[""I'm so glad music is more freely accessible now. When I was younger, everything was at least $10 if i wanted to listen to an album."", 'yea, this is a much better time for content', 'Kinda wish I was born in this era, but then I think I would be really distracted.']",yea i can see that also,"I'm so glad music is more freely accessible now. When I was younger, everything was at least $10 if i wanted to listen to an album.",joyful,[None],[None]
12748,"[""I  provide for a family of 8. It's tiring but rewarding"", ""Wow! The struggle is real. I hope you're not too tired and stressed. I wish you luck for being so selfless!"", 'I love my wife alot, we had a set of twin 3 times in a row so the children are 6 plus myself and her all 8']","Do twins run in your family or are you just lucky? I mean that seriously, not sarcastically",I am provide for a family of 8. It's tiring but rewarding,caring,ask me for further details,[None]
13083,"['when i get payed i usually go to my go to restaurant places , i avoid fast food since they always get my orders wrong, so when new restaurants open i tend to avoid them until i see good reviews', 'Yeah the new places are always really busy when they first open too!', 'i wait for a few months , but eventually go']",Yeah same here,"every time a new restaurant opens , i kinda dont trust it",apprehensive,[None],[None]
13258,"['I just missed getting run over by a 18 wheel truck the other day.', ""OH goodness!  I'm glad you are ok, what happened?"", ""I was steeping off the curb to go to my neighborhood grocery store when a delivery truck pulled out of the parking lot.  I had to run as fast as I could to avoid him cause he wasn't stopping.""]",WOW!  That person needs to loose their license I believe - you are so blessed you were not hurt.,I just missed get run over by a 18 wheel truck the other day.,terrified,[None],"I'm in a negative mood, please comfort me."
13361,"['I put off changing my kids diaper for 5 minutes. Poop ended up leaking out in front of many other people.', ""Oh no, I'm sorry to hear that. With five kids, that has happened to me multiple times. I can commiserate!"", ""I was picking my oldest up from school. I really thought he'd be fine for 5 minutes.""]",It's okay. It happens to all of us!,I put off changing my kids diaper for 5 minutes. Poop ended up leaking out in front of many other people.,ashamed,[None],"I'm in a negative mood, please comfort me."
13516,"[""We were at a family gathering, and my relatives were in town for the weekend and we were saying our final goodbyes before they headed back home. My nephew stood up in front of everyone and farted. He's 11... He should be able to know better. I cringed."", 'That sure is embarrassing, did he get talked to about his behavior?', ""No. His parents weren't there to hear it or witness it. I didn't feel like ratting him out or dealing with it, either. Kind of lazy on my part. Everyone just kind of shrugged it off and laughed awkwardly, but you could tell everyone was thinking, Really? Why?""]","I agree, at that age kids should definitely know better and think before doing something. Unbelievable.","We were at a family gathering, and my relatives were in town for the weekend and we were saying our final goodbyes before they headed back home. My nephew stood up in front of everyone and farted. He's 11... He should be able to know better. I cringed,.",disgusted,[None],[None]
13742,"[""I procrastinated and didn't do the dishes for a couple days now. I think fungus started to grow on some of the old food, so nasty!""]",Oh no!  I bet you regretted that fast!,"I procrastinated and didn't do the dishes for a couple days now. I think fungus started to grow on some of the old food, so nasty!",disgusted,[None],[None]
13977,"[""Was feeling lazy today, and for the most part I had decided I wasn't going to go running, that since i had done it yesterday, I could skip today. Managed to change my mind and exercised anyway. I feel good that I kept up my routine.""]",That's a real positive spirit!,"Was feeling lazy today, and for the most part I had decided I wasn't going to go running, that since i had done it yesterday, I could skip today. Managed to change my mind and exercised anyway. I feel good that I kept up my routine.",content,[None],"I'm in a positive mood, please congratulate me and praise me."
14128,"['I feel really good about myself today , i avoided fast food restaurants all week and probably saved a ton of cash', ""Oh, that's a good point! I never realized how much money I was spending for fast food until I started making a budget."", 'yeah going to eat fast from 5 to 10 bux, i just made plane sandwiches all week way cheaper']","My go to lazy-sandwich are fried balogna sandwiches. It's saved me a lot of money, that's for sure.",a avoided fast food restaurants all week i feel good about myself,proud,[None],[None]
14213,"['I am feeling a bit of trepidation about today actually.', 'Why is that, is there something scheduled today that you really are trying to avoid?', ""Yes,  My partner was being a bit rude and he can explode easy, so it's hard.""]","My first marriage was much like that, I hope you have a very calm day and no arguing.","I am feeling a bit of trepidation about today actually. My partner was being a bit rude and he can explode easy, so it's hard",apprehensive,[None],[None]
14232,"['My boss gets paid much more than me', 'what do you plan to do about it?', ""I'm going to leave and find a better job.""]",thats a good plan,My boss gets paid much more than me. He does less work and is lazy,jealous,[None],"I'm in a positive mood, please congratulate me and praise me."
14271,"[""I logged in too facebook, I do not very often and felt a bit sad that I don't talk to anyone anymore."", 'It is good to maintain that contact with people', ""Yes but I am just not the same peron anymore. I just don't feel like having people around. I had my time of friends and fun and I just prefer to be alone now.""]",That is ok sometimes but getting out is important for you too,"I logged in too facebook, I do not very often and felt a bit sad that I don't talk to anyone anymore. I have some really nice friends. I just don't feel like having people around anymore.",sentimental,[None],[None]
14353,"['I experienced road rage the other day. I woman carelessly swerved in front of me, causing me to slam on my brakes.', ""Road rage is a problem I deal with too.  I have adult add and tend to be impulsive and am horrible at socializing.  I'm glad your alright and I don't blame you for getting stressed out by that."", 'Yeah, and then when I finally got around her I saw she was yakking on her cell phone, completely oblivious to the world around her. So annoying!']",I can't believe she didn't at least apologize or wave sorry.  That's why cell phones are horrible and can cause accidents.  I'm glad your ok,"I was furious when the distracted driver swerved in front of me, causing me to slam my brakes. I wasn't surprised when I saw the lady yakking on her cell phone.",angry,[None],"I'm in a negative mood, please comfort me."
14796,"['Despite leaving to work with enough time, the train was out of service and delayed for about 30 minutes']",Really? why the delay?,"Despite leaving to work with enough time, the train was out of service and delayed for about 30 minutes",annoyed,ask me for further details,[None]
15004,"[""MY friend texted to come over the othe day and I lied and said I wasn't home."", ""Hope they don't find out.  Were you just tired or something else?"", ""She wanted to bring her kids too and I just wasn't feeling it. I feel terrible. I like her kids"", ""Well, next time try telling her the truth, like , I am too tired right now, can we do it another day. and that way you won't feel bad."", ""Yeah. That's what I should have done.""]",I'm sure she would understand if she is a good friend.,I can't believe I lied to my friend about being home the other day. I feel terrible,guilty,[None],[None]
15134,"[""I'm enjoying a lazy Sunday afternoon.""]","nice , just relaxing after a long week that sounds perfect honestly",I'm enjoying a lazy Sunday afternoon.,content,[None],[None]
15322,"[""I just moved back near family, and I'm feeling overwhelmed with how close knit everything is again.""]",Oh I feel you! Every time I go back to stay with my family it feels... claustrophobic almost.,I'm really lucky to have the family that I do. We're all so very close knit and the togetherness really helps me get through some tough times. I'm so fortunate to be around them.,grateful,[None],"I'm in a negative mood, please comfort me."
15470,"['I was flying to see a relative, and my flight got delayed because of weather! Once I got on it and flew to the next airport, I missed my connection because of the first delay. Now I have to stay in the airport all alone, overnight, sleeping on the ground like a dog.', 'That was rough, how long ago was this ?', 'This was yesterday! I just recently was able to move on to my final destination. It was kind of neat to people-watch and see the goofy things that happen in an airport overnight, but it was still miserable overall.']",I'm sorry you had to endure this.,"I was flying to see a relative, and my flight got delayed because of weather! Once I got on it and flew to the next airport, I missed my connection because of the first delay. Now I have to stay in the airport all alone, overnight, sleeping on the ground like a dog.",devastated,[None],"I'm in a negative mood, please comfort me."
15537,"['I have been avoiding watching a scary movie for months', 'I used to like watching scary movies. Not my thing anymore.', 'Ive never liked them and I never will. I dont want to be a liar because I said I would. I wish I hadnt said that lol']",Maybe you can talk yourself out of it?,I have been putting off watching a scary movie with my daughter for months now. I cant,terrified,ask me for further details,[None]
15589,"['seeing stefan had died made me sad and yearn for the old days', ""I'm sorry, who was Stefan?"", 'he played the villain in Lazy town a strange TV show for kids in america']","Oh okay, now I know.  Yeah that was tragic.",seeing stefan had died made me sad and yearn for the old days,nostalgic,[None],"I'm in a negative mood, please comfort me."
15646,"['I procrastinated on turning in a paper for a college class, and she ended up giving me a D for the course overall', 'were you able to do any extra credit to bring up the grade?', ""I had some that I did, yeah, during the year. And she counted it towards the overall grade, but I don't feel like it counted for as much as it should have.""]",That stinks. There's always next time!,"I procrastinated on turning in a paper for a college class, and she ended up giving me a D for the course overall.",disappointed,[None],[None]
15745,"['I feel really good about myself today , i avoided fast food restaurants all week and probably saved a ton of cash']","Oh, that's a good point! I never realized how much money I was spending for fast food until I started making a budget.",a avoided fast food restaurants all week i feel good about myself,proud,[None],[None]
15768,"['The trash guys took only half of my trash and left a big tire too and they are supposed to take one tire per month!', 'Why did they left half of the trash?', ""No idea! They have lazy issues and it drives me crazy as it's included in my taxes.""]",Did you complain to municipality?,The trash guys took only half of my trash and left a big tire too and they are supposed to take one tire per month!,surprised,ask me for further details,[None]
15819,"['I had to go to the hospital last month when i got really sick and I was charged 400 dollars more than they said it would be. I am ticked off to say the least.', 'I hate when they do that. They make it so hard to pay for', ""I didn't even agree to half the tests that they ran.  It gets my blood boiling and yes, it's so stressful.  I usually avoid going at all cost.""]",They sound like a shady hospital to me,I had to go to the hospital last month when i got really sick and I was charged 400 dollars more than they said it would be.  I am ticked off to say the least.,angry,[None],[None]
15882,['My grandma died last month and now we are sorting through her things.'],Oh I'm so sorry to hear that.,My grandma died last month and now we have been sorting through her things. She has so many old family photo albums. We get distracted going through them.,sentimental,[None],"I'm in a negative mood, please comfort me."
15883,"[""I sneezed on my coworker by accident yesterday! She was horrified and doesn't talk to me anymore.""]",Oh no! That is really embarrassing. Hopefully she can move on from it and you can laugh about it one day.,I recently accidentally sneezed on my coworker at work. Her face was absolutely horrified and now she avoids me completely.,ashamed,[None],[None]
16226,"['The other day I had a huge cart full and was waiting in like forever, a new line opend up and the cashier called me over but someone cut me in line!', 'Oh man! I would have been so made, did you say anything to them?', 'No I didnt because I avoid drama, but my facial expression said it all. On top of that I had a fussy baby with me.. the nerve of ppl!']",Some people on think about themselves! I would have said something if he didn't look the fighting type.,when i was next in line and someone cut me to jump ahead,angry,[None],[None]
16231,"['I have a coworker always disturbing me during working to talk to me about subject that I am not interesting in.', ""Oh that's frustrating, have you told them how you felt?"", 'No, I am too shy to do that. This coworker start endless conversation and keep talking and talking. It is delaying me in work.']","Oh that's too bad, I wonder if you could find a way to politely say something so you can focus.",I have a coworker always disturbing me during working to talk to me about subject that I am not interesting in.,annoyed,[None],"I'm in a negative mood, please comfort me."
16453,"[""Was feeling lazy today, and for the most part I had decided I wasn't going to go running, that since i had done it yesterday, I could skip today. Managed to change my mind and exercised anyway. I feel good that I kept up my routine."", ""That's a real positive spirit!"", ""Yeah, once I fall out of my routine, it's so easy to just keep staying out of it. So I guess whatever I can do, even if it's not as good as the day before, to just stay in the routine and to stay at it, helps.""]",I like your attitude.,"Was feeling lazy today, and for the most part I had decided I wasn't going to go running, that since i had done it yesterday, I could skip today. Managed to change my mind and exercised anyway. I feel good that I kept up my routine.",content,[None],"I'm in a positive mood, please congratulate me and praise me."
16699,['My nephew signed up to join the Marines. I was overwhelmed with happy emotions that he would choose to serve our country.'],"Wow,  that's great news.  I love that",My nephew signed up to join the Marines. I was overwhelmed with happy emotions that he would choose to serve our country.,proud,[None],"I'm in a positive mood, please congratulate me and praise me."
16934,['I put off changing my kids diaper for 5 minutes. Poop ended up leaking out in front of many other people.'],"Oh no, I'm sorry to hear that. With five kids, that has happened to me multiple times. I can commiserate!",I put off changing my kids diaper for 5 minutes. Poop ended up leaking out in front of many other people.,ashamed,[None],"I'm in a negative mood, please comfort me."
16976,"[""I'm pretty irritated.  My flight has been delayed 7 hours!"", 'oh man! i would also be irate. why the delay?', 'Due to weather.  Boy did I pick the wrong day to travel.']",i hate fight delays,"My flight has been delayed 7 hours due to weather, I'm mad.",angry,[None],[None]
17384,"['I felt bad when I lied to my dad about missing a lunch meeting. I said I was sick and I was not', 'What did you do instead?', 'I was hungover and lazy']",well you could always take him out or do something he would like to make up for it im sure he wont mind,I felt bad when I lied to my dad about missing a lunch meeting. I was hungover but told him I was sick,guilty,[None],[None]
17451,['i was studing for a test yesterday and really trying to concentrate'],How did that go? Studying is very important in order to do good.,i was beside my girlfriend at the dinner table studing for test. She started taking her fingers and clicking her fingers against it repeatedly it it kept me distracted from my goal which was studying,annoyed,ask me for further details,[None]
17591,"['I have been really bad at work lately. Just plain lazy.', 'Why have you been lazy?', ""Trying to get school things together. I've just been tired. And the work is so repetitive.""]",What kind of work is it?,I have been really slacking off at work. It getting bad.,guilty,ask me for further details,[None]
17596,"[""My girlfriend is mad at me, and I feel like when we try to have another discussion tomorrow about why we're fighting, she's just going to get even more angry with me. We're not the best at communicating."", 'Do you guys fight often?? How do they usually turn out?', ""In the early days of our relationship, we did. But then we matured in life and in our relationship, and our communication did improve a little. But I feel like she's so rash and overreactionary and sensitive at times.I want to put off arguments until we cool off, and she wants to have them immediately. We clash sometimes when it comes to perspectives.""]",Are your political views the same? and do you think this next fight will end well?,"My girlfriend is mad at me, and I feel like when we try to have another discussion tomorrow about why we're fighting, she's just going to get even more angry with me. We're not the best at communicating.",anticipating,ask me for further details,[None]
17717,"['So last week I was supposed to meet Mary and workout with her. But I kind of lied...', ""Oh no. That's not right."", 'I told her I had to go out of town and instead I just stayed home all day.', ""Lol. Why didnt' you just reschedule?"", 'Because We do it everyother day and I did not want to seem lazy.']",So you said you were going out of town. That's hilarious.,I lied to the people I work out with. I told them I was out of town but I relaly just did not want to work out.,ashamed,[None],[None]
17950,"['Last week I was at the park with my kid and got distracted by my phone. I looked up and my daughter was gone! My stomach dropped and became really scared. Luckily I found her in the tube slide.', ""oh god that's worse than thinking you lost your phone for a second, i am aware of the feeling, how are you feeling now"", 'I feel fine and have definitely learned my lesson.']",what did you learn?,Last week I was at the park with my kid and got distracted by my phone.  I looked up and my daughter was gone!  My stomach dropped and became really scared.  Luckily I found her in the tube slide.,terrified,ask me for further details,[None]
17962,"[""I'm about to uber some lunch for myself. I keep trying to get my lazy children up but they are going to miss out""]",That just means more food for you. That sounds like a win to me.,I'm about to order lunch for myself and not my kids. I feel bad.,guilty,[None],"I'm in a positive mood, please congratulate me and praise me."
18248,"['I was a little put off when I was passed over for the promotion', 'That can be upsetting. Did they tell you why?', ""No just the usual responses that don't offer useful feedback""]",Maybe it's time to look for another job.,I was a little put off when I was passed over for the promotion,annoyed,[None],[None]
18259,"['There was a time when I really messed up.', 'Oh! What happened?', 'Some folks were counting on me to buy some things, but I never did.']",Wow! You lazy bum. You disappointed me too!,"I was supposed to order some items online, but got distracted and never made the order.",ashamed,[None],"I'm in a positive mood, please congratulate me and praise me."
18265,"[""I'm really glad it's Sunday. Sundays are the one day I have off, and they're just lazy and slow and I'm lazy (and slow, ha) so it's my favorite time of the week.""]",Lucky for you! I'm at work right now! Haha!,I love lazy Sundays. I'm off work and it's just a good time to relax.,content,[None],"I'm in a positive mood, please congratulate me and praise me."
18390,"['Phew that was close.', 'What happended?', 'I got proposed a kiss at a party but I said no.']",Did you not like the person?,I avoided kissing a girl while I was out one night. I'm in a relationship.,faithful,ask me for further details,[None]
18659,"[""I was at a restaurant and the waiter didn't serve us at all! She was so lazy! I was so dissapointed.""]",That's super frustrating! Did you walk out?,I was at a restaurant and the waiter didn't serve us at all! She was so lazy! I was so dissapointed.,annoyed,ask me for further details,"I'm in a negative mood, please comfort me."
18843,"['My son failed his physics exam yesterday.', 'Ouch, was it an unfair test or did he not study?', ""Naw, he's somewhat lazy like myself when I was a young lad, but still, it was rather disappointing.""]","Yea, hope he can make it up the rest of the year.",My son failed his physics exam yesterday. So disappointed.,disappointed,[None],[None]
18844,"['My kids were so lazy this summer', 'Hahahaha, that is the way sumer is supposed to be for kids.  Did they at least do the things you asked them to do?', 'no. They just wwanted to sleep all day. Even when we took trips.']","Ohh no, its worse than I thought.  It's one thing to relax, but that's different.  What are you doing to whip them back into shape?",I am not happy with the way my kids behaved this summer. They were so lazy,ashamed,ask me for further details,"I'm in a negative mood, please comfort me."
18904,"['I never drink milk anymore because it made me sick once.', ""That's too bad..you sure it was the milk and not something else?"", 'It may have been, but I still avoid the milk.']",Can you drink any dairy? Or is that totally off limits,I never drink milk anymore because it made me sick once.,afraid,ask me for further details,[None]
19100,"['When I was younger I decided to plummet down a sheer-drop water-slide. As I approached, I almost chickened-out, I was so nervous.', 'Please tell me you went through with it.  That sounds like it would have been an experience!', 'I did in the end! The people queuing behind must have been furious as I trembled and delayed. It was excellent, and terrifying!']","They've should have had similar feelings, so they should have been more understanding.",Approaching a sheer-drop water-slide.,apprehensive,[None],[None]
19364,"['Sometimes I feel like I have so much going on that I feel overwhelmed and over ran with anxiety that it makes it hard to stay focused on everything', 'I totally understand.  Life can sometimes seem overwhelming.  I have learned to stop, take a deep breath, and do one thing at a time.', 'That makes sense. I am going to start trying that more']","It's just a way to calm the body and the mind.  It is SO easy to fall into the trap of anxiety.  But falling there doesn't accomplish a thing.  Take a breath, focus on one small success, then move to the next.",I find myself with being over ran with anxiety that it is hard to concentrate and stay focused,anxious,[None],[None]
19591,"['Yesterday, i had a night out with my friends, but i lied to partner that i will be staying late for work. I did not want to see her nagging', ""That's really not good. Did you feel bad about it?"", 'For lying I feel bad, but for avoiding much nagging no. I think this is not a healthy relationship i am into']",Maybe you should see a counselor. Or just get out of the relationship.,I had a night out with my friends. But i lied to my partner that i will be staying late for work,guilty,[None],please give me some advices.
19615,"['I was driving on a busy street and my brakes went out. There were so many cars I thought I was going to crash. I was so scared.', 'That sounds terrifying! How fast were you travelling? How old was the car? What happened?', 'I was able to use my emergency brake and avoid hitting anyone. It was touch and go though.']","Was it an old car? Were the brakes somewhat worn? Or was it an out of the blue brake failure!? That has to be one the scariest things, I'm glad you managed to use the emergency brake and stay safe!",I was driving on a busy street and my brakes went out. There were so many cars I thought I was going to crash. I was so scared.,terrified,ask me for further details,[None]
19669,"['The new Warcraft expansion comes out today.', ""Warcraft - that's an online role play game, right?"", 'Yes it is.  Its the most popular one of its type.', ""I'm afraid I avoid those games - too addictive. I'd never get anything else done! Presumably you play."", ""I've played on and off for a long time.   As far as entertainment for $ spent, its a great deal."", 'Hmm. Perhaps I should have a look then. I just have such an addictive personality - Hopeless!', ""Haha, maybe its a pool you don't want to dip your toe into.""]","Oh, there are plenty of those, believe me, lol. At least you enjoy it tho'. That's good.",The new WoW expansion comes out today.,joyful,[None],[None]
19938,"['Its been cloudy all day and I think it will rain heavily pretty soon!', 'Rainy days are perfect for being lazy.', 'I agree, I think I will just sit back and listen to some good jazz and read a book!']",That sounds relaxing.,Its been cloudy all day and I think it will heavily soon.,anticipating,[None],"I'm in a negative mood, please comfort me."
20021,"['I was irritated last week. My landlord seemed to avoid me', 'Really? Why is that?', 'They are not good at their jobs I guess']",Wow... I kinda hope they get fired. Why did you need to talk to the landlord?,I was pretty irritated last week. My landlord avoided me,annoyed,ask me for further details,[None]
20100,"[""I lent my car to my 17-year-old sister today. She left at 10 in the morning and it's midnight, and she still isn't back with it. I trust her mostly, but she hasn't been driving for long, and it makes me nervous thinking of her out there on the road"", ""Did you call her? I hope she's ok!"", ""I tried, and she didn't pick up. I texted her a few times, and she's responded here and there, letting me know her whereabouts, and that's she's fine. But we had an agreed upon time that she's not following, so I don't feel like she's respecting my trust. We'll have to have a talk when she comes home.""]",I'm glad you're going to talk about it instead of being passive aggressive about it.,"I lent my car to my 17-year-old sister today. She left at 10 in the morning and it's midnight, and she still isn't back with it. I trust her mostly, but she hasn't been driving for long, and it makes me nervous thinking of her out there on the road.",trusting,[None],"I'm in a positive mood, please congratulate me and praise me."
20242,"['i left the store today and didnt take a case of drinks out from the bottom of the cart while paying', 'That is bad. Did you do it on purpose?', 'no it was an accident. the baby was crying while i was unloading.was distracted']",Mistake can easily happened. Nothing to worry about.,i felt awful when i left the store after accidentally not paying for am item,guilty,[None],"I'm in a negative mood, please comfort me."
20308,"['In the last weekly meeting, i received some fair share of criticism from my supervisor for the quality of work i did. I feel very uncertain', ""oh that's ok, put more efforts next time. i believe you will come out of flying colors"", ""I don't know why, but lately i am feeling more sluggish and unmotivated to work hard. I am lost in the middle of emotional chaos""]","is the work you are doing interests you, or else you would need to change the job",I received some degree of criticism from my supervisor for the quality of work i did. I feel very uncertain about my perspectives in this company,afraid,[None],[None]
20413,"[""My buddy won first place at the triathlon. Couldn't even get him off the couch this same time last year."", 'man thats legit! i am so lazy lol', 'hahah same here, man.']",i run 1 10k a year lol,My buddy won first place at the triathlon. Couldn't even get him off the couch this same time last year.,impressed,[None],[None]
20463,"[""My son's pediatrician told me to call Early Intervention because he's delayed in talking."", ""Oh no, I'm sorry to hear that. Do they have any idea what the cause may be yet?"", ""Not at all.  I'm hoping he'll catch up soon.  The appointment is set for next week and I'm pretty nervous.""]","I hope it's nothing too serious. My younger brother had the same problem early on, but he turned out to just be a slow developer.",My son's pediatrician advised me to have early intervention out because he's delayed in talking.  The appointment is set for next week and I don't really know to expect.,anxious,[None],[None]
20500,['my friend delayed our lunch plans again.'],"Oh my, why can't they just set a time and commit to it?",my friend delayed our lunch plans... again.  They can never make it anywhere on time.,annoyed,ask me for further details,[None]
20553,"[""I've got more sympathy for poor people who are actually trying to improve their situation, than those who are just looking for a handout"", ""Well of course..Like all the drunks and druggies begging for money who won't work on my corner? Most people are poor..and work hard!"", ""Agreed.  It's a common misconception to think all poor people are lazy.  Some just have it rougher than others I know I did coming from a third world country.  But now I'm fully self-employed own my own car rent my own apartment and live life on my own terms""]",Poor people are the hardest workers in america usually..It's corps that have a HUGE pay gap and the CEOs make ridiculous money while the people keeping the companies don't even make a living wage,"I care about most poor people.  But I have more sympathy for those who are actually trying to improve their situation, than those who are just looking for a handout",caring,[None],[None]
20802,"[""I used the internet to help me write a paper once because I didn't read the literature. It was flagged for plagiarism.""]",Oh my...You have to be careful when you use the internet for school assignments.,"Once upon a time, I had to write a paper for an English assignment. I decided to procrastinate on the assignment and did not read the literature I was supposed to. I decided to use the internet to help me write my paper and my paper was flagged for plagiarism. I felt so bad for not taking the time out to read my assignment.",ashamed,[None],please give me some advices.
20880,"[""MY friend texted to come over the othe day and I lied and said I wasn't home."", ""Hope they don't find out.  Were you just tired or something else?"", ""She wanted to bring her kids too and I just wasn't feeling it. I feel terrible. I like her kids"", ""Well, next time try telling her the truth, like , I am too tired right now, can we do it another day. and that way you won't feel bad."", ""Yeah. That's what I should have done."", ""I'm sure she would understand if she is a good friend."", ""She is. I'm going to invite her over tomorrow and cook.""]","I bet it will be a good dinner, since there is some guilt involved. lol",I can't believe I lied to my friend about being home the other day. I feel terrible,guilty,[None],[None]
21037,"[""I  provide for a family of 8. It's tiring but rewarding"", ""Wow! The struggle is real. I hope you're not too tired and stressed. I wish you luck for being so selfless!"", 'I love my wife alot, we had a set of twin 3 times in a row so the children are 6 plus myself and her all 8', 'Do twins run in your family or are you just lucky? I mean that seriously, not sarcastically', 'I got lucky :)']",That's awesome! You won the kiddo lottery! I wish you all the best of health and happiness!!!,I am provide for a family of 8. It's tiring but rewarding,caring,[None],"I'm in a positive mood, please congratulate me and praise me."
21084,['I get so ticked off when I see people leave their shopping carts in the parking lot. How lazy are these people!'],That is very true! I dono't understand why people doe that!,I get so mad when I see lazy people not return their grocery carts. How inconsiderate of them. I want to yell at them.,furious,[None],"I'm in a positive mood, please congratulate me and praise me."
